dataset,category,ratio_name,ratio_value,status,qps_num,recall_num,time_num_ms,qps_den,recall_den,time_den_ms
Laion,th=10,SmartRoute+/UNG+,1.7005,OK (Recall>=0.9),1291.8027,0.9148,46446.7200,759.6408,0.9609,78984.7000
Laion,th=10,SmartRoute+/SmartRoute,1.2416,OK (Recall>=0.9),1291.8027,0.9148,46446.7200,1040.4564,0.9328,57667.0000
Laion,th=10,SmartRoute/UNG+,1.3697,OK (Recall>=0.9),1040.4564,0.9328,57667.0000,759.6408,0.9609,78984.7000
Laion,K=20,SmartRoute+/ACORN-gamma,inf,"Infinity (Num>=0.9, Den Failed)",5370.7616,0.9119,11171.6000,,,
Laion,K=20,SmartRoute+/NaviX,inf,"Infinity (Num>=0.9, Den Failed)",5370.7616,0.9119,11171.6000,,,
Laion,K=20,SmartRoute+/pre-filtering,4.2045,OK (Recall>=0.9),5370.7616,0.9119,11171.6000,1277.3839,1.0000,46971.0000
Laion,K=20,SmartRoute+/Milvus-HNSW,135.7872,OK (Recall>=0.9),5370.7616,0.9119,11171.6000,39.5528,1.0000,1516960.0000
Laion,K=20,SmartRoute+/Milvus-IVF,285.8471,OK (Recall>=0.9),5370.7616,0.9119,11171.6000,18.7889,0.9005,3193370.0000
Laion,K=20,SmartRoute+/UNG,7.1093,OK (Recall>=0.9),5370.7616,0.9119,11171.6000,755.4572,0.9015,79422.1000
Laion,K=20,UNG+/UNG,3.1315,OK (Recall>=0.9),2365.6868,0.9096,25362.6140,755.4572,0.9015,79422.1000
Laion,K=20,SmartRoute+/UNG+,2.2703,OK (Recall>=0.9),5370.7616,0.9119,11171.6000,2365.6868,0.9096,25362.6140
Laion,K=20,SmartRoute+/SmartRoute,1.7907,OK (Recall>=0.9),5370.7616,0.9119,11171.6000,2999.2682,0.9119,20004.8800
Laion,K=20,SmartRoute/UNG+,1.2678,OK (Recall>=0.9),2999.2682,0.9119,20004.8800,2365.6868,0.9096,25362.6140
